MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
1234534014	800	A0744	A074400	Enteritis due to Yersinia enterocolitica	711167005	3047859018	32
533191000006119	200000	A0743-2	A074312	Campylobacter intestinal infection	18081009	2920784014	32
619811000006118	7000	A0743-1	A074311	Diarrhoea due to Campylobacter jejuni	18081009	30543016	32
533201000006116	200000	A0743	A074300	Enteric campylobacteriosis	18081009	30543016	32
619821000006114	1	A0741-1	A074111	Diarrhoea due to Pseudomonas pyocyanea	266078006	395320011	32
395320011	100	A0741	A074100	Pseudomonas gastrointestinal tract infection	266078006	395320011	32
619831000006112	9	A0740-2	A074012	Diarrhoea due to staphylococcal toxin	398384001	1777919019	32
1773224011	20	A0740-1	A074011	Diarrhoea due to staphylococcus	398570005	1773224011	32
395319017	80	A0740	A074000	Staphylococcal gastrointestinal tract infection	266077001	395319017	32
286141018	20000	A074	A074.00	Bacterial intestinal infectious disease	312108008	455772010	32
286140017	5	A073z	A073z00	Proteus gastrointestinal tract infection NOS	186136006	286136014	32
286139019	4	A0731	A073100	Proteus morganii gastrointestinal tract infection	186138007	286139019	32
286137017	20	A0730	A073000	Proteus mirabilis gastrointestinal tract infection	186137002	286137017	32
286136014	20	A073	A073.00	Proteus gastrointestinal tract infection	186136006	286136014	32
472961000006112	20	A072	A072.00	Gastrointestinal infection caused by Klebsiella aerogenes	421429008	3686609013	32
286134012	10	A071	A071.00	Arizona paracolon gastrointestinal tract infection	186134009	286134012	32
360044012	100	A0703	A070300	Enterohaemorrhagic Escherichia coli infection	240354007	360044012	32
360051015	20	A0702	A070200	Enteroinvasive Escherichia coli infection	240355008	360051015	32
360040015	200	A0701	A070100	Enterotoxigenic Escherichia coli infection	240352006	360040015	32
360043018	600	A0700	A070000	Enteropathogenic Escherichia coli infection	240353001	360043018	32
365279016	1000	A070	A070.00	Escherichia coli gastrointestinal tract infection	111839008	365279016	32
286129013	200	A07	A07..00	Intestinal infection due to other organisms	266071000	395311019	32
286128017	40	A06z	A06z.00	Protozoal intestinal diseases NOS	89933001	188978011	32
286127010	20	A06y	A06y.00	Other specified protozoal intestinal diseases	89933001	188978011	32
360073010	9000	A064	A064.00	Cryptosporidiosis	240370009	360073010	32
572031000006114	2000	A061-1	A061.11	Giardial colitis	10679007	306996014	32
802121000006117	70000	A061	A061.00	Giardiasis	58265007	96833015	32
286119018	100	A06	A06..00	Protozoal intestinal disease	89933001	188978011	32
286117016	200	A05z	A05z.00	Amoebiasis NOS	111910009	179062014	32
91483015	300	A052	A052.00	Amoebic nondysenteric colitis	55023005	91483015	32
286104019	5000	A050	A050.00	Acute amoebic dysentery	186116005	286104019	32
1490309018	3000	A05	A05..00	Amoebiasis	111910009	1490309018	32
286102015	10000	A04z	A04z.00	Food poisoning NOS	75258004	124991010	32
1222370018	40	A04y0	A04y000	Foodborne Bacillus cereus intoxication	19894004	1222370018	32
286100011	60	A04y	A04y.00	Other specified bacterial food poisoning	66107000	109787018	32
1234561014	80	A044	A044.00	Vibrio parahaemolyticus food poisoning	81159000	1234561014	32
286099015	60	A043	A043.00	Other Clostridia causing food poisoning	240357000	360053017	32
569601000006113	100	A042	A042.00	Clostridium perfringens food poisoning	70014009	3028049014	32
1234964014	100	A040	A040.00	Staphylococcal food poisoning	84622004	1234964014	32
286096010	6000	A04	A04..00	Other bacterial food poisoning	66107000	109787018	32
286095014	500	A03z	A03z.00	Shigellosis NOS	36188001	60387019	32
286094013	3000	A03y	A03y.00	Other specified shigella infection	36188001	60387019	32
878911000006116	1000	A03-99	A03..99	Bacillary dysentry	36188001	878911000006116	32
501911000006117	3000	A033-1	A033.11	Bacillary dysentery Shigella sonnei	4298009	8235019	32
395316012	8000	A033	A033.00	Shigella sonnei	4298009	8235019	32
286089013	200	A032	A032.00	Shigella boydii (group C)	186105003	286089013	32
286088017	1000	A031	A031.00	Shigella flexneri	85729005	142105015	32
988691000006119	2	A030-99	A030.99	Bacillary dysentry	266073002	988691000006119	32
409836012	1000	A030-1	A030.11	Bacillary dysentery	274081004	409836012	32
395315011	4000	A030	A030.00	Shigella dysenteriae	43612004	72718012	32
353844012	6000	A0-3	A0...13	Vomiting co-occurrent and due to infectious disease	765480005	3658930017	32
60387019	7000	A03	A03..00	Shigellosis	36188001	60387019	32
286084015	30000	A02z	A02z.00	Salmonella infection	302231008	443816015	32
286083014	500	A02y	A02y.00	Other specified salmonella infection	302231008	443816015	32
286078018	40	A0220	A022000	Local salmonella infection unspecified	47375003	78978016	32
494811016	50	A022	A022.00	Localised Salmonella infection	47375003	494811016	32
443811013	9000	A020-2	A020.12	Salmonella food poisoning	302229004	443811013	32
443815016	2000	A020-1	A020.11	Salmonellosis	302231008	443815016	32
443812018	80000	A020	A020.00	Salmonella gastroenteritis	42338000	70642011	32
124991010	50000	A0-2	A0...12	Food poisoning	75258004	124991010	32
286071012	3000	A02	A02..00	Other salmonella infections	302231008	443815016	32
109787018	2000	A0-1	A0...11	Bacterial food poisoning	66107000	109787018	32
286066017	2000	A01	A01..00	Typhoid and paratyphoid fevers	186090001	286066017	32
286065018	70	A00z	A00z.00	Cholera NOS	63650001	105789012	32
126156018	300	A00-1	A00..11	Vibrio cholerae	75953000	126156018	32
551671000006114	6	A001	A001.00	Cholera - Vibrio cholerae El Tor	81020007	1234549018	32
551661000006119	200	A000	A000.00	Cholera - Vibrio cholerae	63650001	105789012	32
105789012	2000	A00	A00..00	Cholera	63650001	105789012	32
222831000000115	40000	A0	A0...00	Intestinal infectious disease	266071000	395311019	32
763991000006113	100	9G1-1	9G1..11	Food poisoning notification administration	715321000000101	1564591000000111	37
264402018	20000	65V2	65V2.00	Notification of food poisoning	170518002	264402018	1
261410016	10000	4JH42	4JH4200	Stool culture positive	168319009	261410016	47
261408018	20000	4JH40	4JH4000	Stool culture cryptosporidium positive	168317006	261408018	47
261251016	10000	4J230	4J23000	Sample salmonella cultured	168198007	3307030019	47
1539981000006116	2000	43jw	43jw.00	Norovirus (small round-structured viruses) nucleic acid detn	1029531000000101	2595611000000117	33
1923531000006118	10000	43jj1	43jj100	Rotavirus RNA (ribonucleic acid) detection assay	1008071000000109	2606141000000113	33
2335181000000114	100	43jj0	43jj000	Rotavirus nucleic acid detection assay	1029551000000108	2597141000000115	33
313311000000111	3000	43jj	43jj.00	Rotavirus nucleic acid detection	1029551000000108	2597141000000115	33
1923481000006116	10000	43jf1	43jf100	Norovirus RNA (ribonucleic acid) detection assay	1008191000000107	2582091000000112	33
2333361000000116	700	43jf0	43jf000	Norovirus nucleic acid detection assay	1029531000000101	2595611000000117	33
313191000000117	6000	43jf	43jf.00	Norovirus nucleic acid detection	1029531000000101	2595611000000117	33
1488689010	9000	1J8	1J8..00	Suspected food poisoning	394988004	1488689010	27
372283012	900000	19G	19G..00	Diarrhoea and vomiting	249519007	372283012	27
619771000006118	1000000	19FZ-1	19FZ.11	Diarrhoea and vomiting, symptom	275297005	411261012	27
397928013	300000	19FZ	19FZ.00	Diarrhoea symptom	267060006	2575888019	27
103081000006118	20000	19F4	19F4.00	Toddler diarrhoea	39963006	492353012	27
1786047017	800000	19F-2	19F..12	Loose stool	398032003	1777604018	27
103578017	3000000	19F2	19F2.00	Diarrhoea	62315008	103578017	27
619741000006114	1000000	19F-1	19F..11	Diarrhoea	62315008	103578017	27
397927015	3000000	19F	19F..00	Diarrhoea symptoms	267060006	397927015	27
252622013	90000	199Z	199Z.00	Vomiting NOS	300359004	441405010	27
2238541000000114	90	1999	1999.00	Frequency of vomiting	866121000000105	2238541000000114	27
252620017	3000	1996	1996.00	Bilious vomiting	71419002	118642013	27
372248013	400000	199-4	199..14	Vomiting symptom	249497008	2575853019	27
15155012	10000	1993	1993.00	Projectile vomiting	8579004	15155012	32
100841000006111	200	1992-1	1992.11	Throwing up	300359004	441405010	27
2647992016	2000	199-2	199..12	Emesis	422400008	2647992016	32
2643931013	1000000	1992	1992.00	Vomiting	300359004	441405010	27
407086011	20000	199-1	199..11	C/O - vomiting	272044004	407086011	27
63631000006119	2000000	199	199..00	Finding of vomiting	300359004	441405010	27
5730511000006110	2	^ESCTDI573051		Diarrhoea and vomiting after gastrointestinal tract surgery	288199005	427801013	31
5089301000006119	2	^ESCTDI508930		Diarrhoea due to ingestion of unabsorbable substances	236075000	353868016	31
13012291000006117	40	^ESCT1301229		Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)	1240571000000101	2826771000000117	32
12990711000006115	7	^ESCT1299071		Gastroenteritis caused by 2019-nCoV (novel coronavirus)	1240571000000101	2808051000000118	32
3512083018	1	^ESCT1164854		Diarrhoea co-occurrent and due to carcinoid syndrome	734884008	3512083018	31
6746021000006114	40	^ESCTNO674602		Norovirus	407359000	2163765015	31
7303631000006118	20	^ESCTNO730363		Norovirus infection	445152004	3028980018	32
