MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	EmisCodeCategoryId
677621000006112	400	K012	K012.00	Nephrotic syndrome with membranoproliferative glomerulonephritis	197591002	303827017	32
481693017	400	K040-1	K040.11	Acute tubular necrosis	35455006	59152019	32
303825013	300	K010	K010.00	Nephrotic syndrome with proliferative glomerulonephritis	197589005	303825013	32
303844018	200	K01x	K01x.00	Nephrotic syndrome in diseases EC	197603000	303844018	32
3183501000006111	200	^ESCTRE318350		Renal failure syndrome	42399005	70742017	32
2184271000000115	100	K045	K045.00	Acute renal failure due to non-traumatic rhabdomyolysis	841961000000100	2184271000000115	32
677981000006115	100	K032y	K032y00	Nephritis unsp+OS membranoprolif glomerulonephritis lesion	52845002	87940013	32
886611000006116	100	K0-99	K0...99	Nephritis/nephrosis/neph syndr	197577008	886611000006116	32
678081000006118	100	K0C1	K0C1.00	Nephropathy induced by other drugs meds and biologl substncs	90708001	150315015	32
460081000006113	100	K041	K041.00	Acute renal cortical necrosis	444794000	2873011015	32
303819014	100	K00y3	K00y300	Acute diffuse nephritis	197585004	303819014	32
508913018	100	K042-1	K042.11	Necrotising renal papillitis	270494003	405115018	32
1221119015	100	K04-1	K04..11	ARF - Acute renal failure	14669001	1221119015	32
405116017	80	K042	K042.00	Acute renal medullary necrosis	270494003	405116017	32
1230447010	80	K08y6	K08y600	Acute idiopathic interstitial nephritis	47330001	1230447010	32
1847641000006114	70	K0434	K043400	Acute renal failure induced by non-steroidal anti-inflammatory drug	840471000000106	2180941000000110	5
2191301000000116	70	K049	K049.00	Acute renal failure induced by radiographic contrast media	844701000000103	2191301000000116	32
2198081000000118	70	K04B	K04B.00	Acute renal failure due to traumatic rhabdomyolysis	847851000000101	2198081000000118	32
5986751000006115	60	^ESCTKI598675		Kidney biopsy sample	309269002	452638017	31
303853013	60	K01xz	K01xz00	Nephrotic syndrome associated with another disorder	197603000	2575708013	32
303951011	60	K08y3	K08y300	Renal function impairment with growth failure	197671004	303951011	32
8040791000006115	50	^ESCTAC804079		Acute renal failure	129561000119108	3014026017	31
460121000006110	40	L393	L393.00	Acute renal failure following labour and delivery	733839001	3474857017	32
678091000006115	40	K0C2	K0C2.00	Nephropathy induced by unspec drug medicament or biol subs	236514003	354531018	5
2615221000006111	40	^ESCTKI261522		Kidney biopsy	7246002	12955016	31
677971000006118	30	K032z	K032z00	Nephritis unsp+membranoprolif glomerulonephritis lesion NOS	52845002	87940013	32
12717101000006112	30	^ESCT1271710		Nephritis, nephrosis and nephrotic syndrome	197577008	303806010	32
355554015	30	L162-2	L162.12	Nephropathy NOS in pregnancy without hypertension	198609003	305277014	32
303838017	30	K01A	K01A.00	Nephrotic syndrome, dense deposit disease	197599000	303838017	32
2214211000000112	20	K046	K046.00	Acute renal failure induced by toxin	236428007	2214211000000112	32
7954321000006110	20	^ESCTAC795432		Acute renal failure stage 1	733137002	3498838011	32
5094041000006117	20	^ESCTAC509404		Acute renal impairment	236424009	354408015	31
303849011	20	K01x3	K01x300	Nephrotic syndrome in polyarteritis nodosa	197607004	303849011	32
303854019	20	K01y	K01y.00	Nephrotic syndrome with other pathological kidney lesions	52254009	86957016	32
405118016	20	K042-2	K042.12	Acute papillary necrosis	270494003	405115018	32
13485211000006111	10	^ESCT1348521		Acute kidney injury due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)	870589006	2838151000000110	32
304053016	10	K0C3	K0C3.00	Nephropathy induced by heavy metals	197753000	304053016	15
5966771000006111	10	^ESCTTR596677		Transient acute renal failure	307309005	450541012	31
5094071000006113	10	^ESCTNE509407		Nephrotoxic acute renal failure	236428007	354412014	32
305571011	9	L0931	L093100	Acute renal failure following abortive pregnancy	609455009	2966764018	32
14057041000006114	9	^ESCT1405704		Acute tubulointerstitial nephritis	28637003	3784124019	32
303848015	7	K01x2	K01x200	Nephrotic syndrome in malaria	197606008	303848015	32
677481000006113	7	K018	K018.00	Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis	197597003	303836018	32
2191151000000117	6	K048	K048.00	Acute renal failure induced by poison	844631000000104	2191151000000117	32
7827241000006112	4	^ESCTAC782724		Acute kidney injury due to hypovolaemia	722096006	3330673010	31
7829401000006116	4	^ESCTAC782940		Acute kidney injury due to sepsis	722278006	3331407014	31
3136131000006110	4	^ESCTAB313613		Abnormal renal function	39539005	66316010	31
7214431000006112	4	^ESCTBI721443		Biopsy of kidney using ultrasound guidance	438813007	2791119017	31
8425521000006110	3	^ESCTAC842552		Acute kidney injury due to acute tubular necrosis due to sepsis	1048491000000106	2641261000000117	31
5093891000006115	3	^ESCTME509389		Membranous glomerulonephritis - stage IV	236416004	354395014	31
2180741000000113	2	K0431	K043100	Acute renal failure induced by aminoglycoside	840371000000100	2180741000000113	5
2180861000000117	2	K0432	K043200	Acute renal failure induced by cisplatin	840431000000109	2180861000000117	5
2180901000000112	2	K0433	K043300	Acute renal failure induced by cyclosporin A	840451000000102	2180901000000112	5
7100101000006115	2	^ESCTAC710010		Acute renal failure due to acute cortical necrosis	429224003	2692740012	32
6927831000006111	2	^ESCTTU692783		Tubulointerstitial nephritis with uveitis syndrome	418839003	2577701015	31
4195491000006118	2	^ESCTHE419549		Hemolytic uremic syndrome	111407006	178645013	32
12704041000006118	2	^ESCT1270404		Acute renal cortical necrosis	444794000	2873012010	32
7879771000006116	1	^ESCTAC787977		Acute kidney injury due to trauma	726541005	3452123014	31
8425491000006113	1	^ESCTAC842549		Acute kidney injury due to acute tubular necrosis due to hypovolaemia	1048451000000103	2641181000000115	31
13485231000006117	1	^ESCT1348523		Acute kidney injury due to disease caused by Severe acute respiratory syndrome coronavirus 2	870589006	3972966011	32
2185551000000111	1	K0460	K046000	Acute renal failure induced by animal toxin	842511000000101	2185551000000111	32
2185591000000115	1	K0461	K046100	Acute renal failure induced by plant toxin	842531000000109	2185591000000115	32
2185631000000115	1	K047	K047.00	Acute renal failure induced by heavy metal	842551000000102	2185631000000115	32
2191381000000114	1	K04A	K04A.00	Acute renal failure induced by solvent	844741000000100	2191381000000114	32
7954341000006115	1	^ESCTAC795434		Acute renal failure stage 2	733138007	3498840018	32
7954361000006116	1	^ESCTAC795436		Acute renal failure stage 3	733139004	3498843016	32
4789251000006116	1	^ESCTNE478925		Nephropathy associated with vesicoureteral reflux	197764002	2535862011	32
7841561000006115	1	^ESCTAC784156		Acute renal insufficiency	723189000	3334973015	31
5093831000006119	1	^ESCTME509383		Membranous glomerulonephritis - stage I	236413007	354388017	31
7085691000006115	1	^ESCTTU708569		Tubulo-interstitial nephritis	428255004	2694182017	32
